Semana,Fecha,Día,Hora inicio,Hora fin,Especialidad,Actividad,Docente/Responsable,Aula,Tipo,Observaciones
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Anestesiología,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Cirugía General,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Urología,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Ortopedia y Traumatología,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Dermatología,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,"Cirugía Plástica, Reconstructiva y Estética",Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Pediatría,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Ginecología y Obstetricia,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Medicina de Urgencias,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Medicina Interna,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Neurología,Bienvenida y Presentación,Grupo facultad de Ciencias de la Salud,Aula Máxima,Académico,
